time,voltage1,voltage2,voltage3,voltage4,voltage5,current1,current2,current3,current4,current5
1899.6,-70.00732422,-70.25146484,-70.28198242,-70.49560547,-70.46508789,0,0,0,0,0
1899.65,-70.00732422,-70.3125,-70.28198242,-70.49560547,-70.43457031,0,0,0,0,0
1899.7,-70.00732422,-70.34301758,-70.34301758,-70.49560547,-70.46508789,0,0,0,0,0
1899.75,-70.00732422,-70.28198242,-70.34301758,-70.49560547,-70.46508789,0,0,0,0,0
1899.8,-70.00732422,-70.19042969,-70.3125,-70.49560547,-70.43457031,0,0,0,0,0
1899.85,-70.0378418,-70.22094727,-70.3125,-70.49560547,-70.43457031,0,0,0,0,0
1899.9,-70.06835938,-70.22094727,-70.28198242,-70.49560547,-70.46508789,0,0,0,0,0
1899.95,-70.06835938,-70.25146484,-70.3125,-70.46508789,-70.43457031,0,0,0,0,0
1900,-70.00732422,-70.25146484,-70.28198242,-70.49560547,-70.40405273,0,0,0,0,0
1900.05,-70.00732422,-70.22094727,-70.3125,-70.46508789,-70.46508789,0,0,0,0,0
1900.1,-70.00732422,-70.25146484,-70.34301758,-70.49560547,-70.46508789,0,0,0,0,0
1900.15,-70.0378418,-70.25146484,-70.34301758,-70.49560547,-70.43457031,0,0,0,0,0
1900.2,-70.00732422,-70.28198242,-70.34301758,-70.43457031,-70.40405273,0,0,0,0,0
1900.25,-70.00732422,-70.28198242,-70.34301758,-70.43457031,-70.43457031,0,0,0,0,0
1900.3,-70.0378418,-70.28198242,-70.3125,-70.46508789,-70.46508789,0,0,0,0,0
1900.35,-70.00732422,-70.28198242,-70.34301758,-70.43457031,-70.40405273,0,0,0,0,0
1900.4,-70.0378418,-70.28198242,-70.34301758,-70.49560547,-70.46508789,0,0,0,0,0
1900.45,-70.0378418,-70.28198242,-70.37353516,-70.43457031,-70.43457031,0,0,0,0,0
1900.5,-70.00732422,-70.3125,-70.3125,-70.46508789,-70.40405273,0,0,0,0,0
